f000001,0.000,5.520,"Senator Harris and Vice President Pence, thank you for being here."
f000002,5.520,13.360,"We’re meeting as President Trump and the First Lady continue to undergo treatment in Washington, after testing positive for COVID-19."
f000003,13.360,22.080,"We send our thoughts and prayers to them for their rapid and complete recovery, and for the recovery of everyone afflicted by the coronavirus."
f000004,22.080,27.080,"The two campaigns and the commission on presidential debates agreed to the ground rules for tonight."
f000005,27.080,33.200,"I’m here to enforce them.On behalf of the millions of Americans who are watching."
f000006,33.200,43.960,"One note: no one in either campaign or at the commission or anywhere else has been told in advance what topics I’ll raise or what questions I’ll ask."
f000007,43.960,48.520,"This 90 minute debate will be divided into nine segments of about 10 minutes each."
f000008,48.520,51.600,"I’ll begin a segment by posing a question to each of you."
f000009,51.600,56.440,"Sometimes the same question, sometimes a different question on the same topic."
f000010,56.440,62.440,"You will then have two minutes to answer without interruption by me or the other candidate."
f000011,62.440,66.080,"Then we’ll take six minutes or so to discuss the issue."
f000012,66.080,72.080,"At that point, although there will always be more to say, we’ll move on to the next topic."
f000013,72.080,79.920,"We want a debate that is lively, but Americans also deserve a discussion that is civil."
f000014,79.920,88.760,"These are tumultuous times, but we can and will have a respectful exchange about the big issues facing our nation."
f000015,88.760,94.840,"Let’s begin with the ongoing pandemic that has cost our country so much."
f000016,94.840,98.920,"Senator Harris, the coronavirus is not under control."
f000017,98.920,107.880,"Over the past week, Johns Hopkins reports that 39 states have had more COVID cases over the past seven days than in the week before."
f000018,107.880,110.480,"Nine States have set new records."
f000019,110.480,116.240,"Even if a vaccine is released soon, the next administration will face hard choices."
f000020,116.240,122.240,"What would a Biden administration do in January and February that a Trump administration wouldn’t do?"
f000021,122.240,129.000,"Would you impose new lockdowns for businesses and schools and hotspots, a federal mandate to wear masks?"
f000022,129.000,131.720,"You have two minutes to respond without interruption."
f000023,131.720,133.600,"Thank you, Susan."
f000024,133.600,143.520,"Well, the American people have witnessed what is the greatest failure of any presidential administration in the history of our country."
f000025,143.520,145.880,"And here are the facts."
f000026,145.880,151.240,"210,000 dead people in our country in just the last several months."
f000027,151.240,155.000,"Over 7 million people who have contracted this disease."
f000028,155.000,158.120,"One in five businesses closed."
f000029,158.120,164.320,"We’re looking at frontline workers who have been treated like sacrificial workers."
f000030,164.320,172.480,"We are looking at over 30 million people, who in the last several months, had to file for unemployment."
f000031,172.480,182.080,"And here’s the thing, on January 28th, the vice president and the president were informed about the nature of this pandemic."
f000032,182.080,196.000,"They were informed that it’s lethal in consequence, that it is airborne, that it will affect young people, and that it would be contracted because it is airborne."
f000033,196.000,199.720,"And they knew what was happening, and they didn’t tell you."
f000034,199.720,208.880,"Can you imagine if you knew on January 28th, as opposed to March 13th, what they knew, what you might’ve done to prepare?"
f000035,208.880,211.480,"They knew, and they covered it up."
f000036,211.480,214.080,"The president said it was a hoax."
f000037,214.080,216.240,"They minimized the seriousness of it."
f000038,216.240,220.000,"The president said, “You’re on one side of his ledger if you wear a mask."
f000039,220.000,228.760,"You’re on the other side of his ledger if you don’t.” And in spite of all of that, today, they still don’t have a plan."
f000040,228.760,229.920,"They still don’t have a plan."
f000041,229.920,231.640,"Well, Joe Biden does."
f000042,231.640,243.240,"And our plan is about what we need to do around a national strategy for contact tracing, for testing, for administration of the vaccine, and making sure that it will be free for all."
f000043,243.240,252.000,"That is the plan that Joe Biden has and that I have, knowing that we have to get a hold of what has been going on, and we need to save our country."
f000044,252.000,253.920,"And Joe Biden is the best leader to do that."
f000045,253.920,255.960,"And frankly, this administration has forfeited their-"
f000046,255.960,257.000,"Thank you, Senator Harris-"
f000047,257.000,258.440,"… right to reelection based on this."
f000048,258.440,260.960,"Thank you, Senator Harris."
f000049,260.960,266.920,"Vice President Pence, more than 210,000 Americans have died of COVID-19 since February."
f000050,266.920,274.800,"The US death toll, as a percentage of our population, is higher than that of almost every other wealthy nation on Earth."
f000051,274.800,279.760,"For instance, our death rate is two and a half times that of Canada, next door."
f000052,279.760,283.560,"You had the administration’s coronavirus task force."
f000053,283.560,291.280,"Why is the US death toll, as a percentage of our population, higher than that of almost every other wealthy country?"
f000054,291.280,293.960,"And you have two minutes to respond without interruption."
f000055,293.960,295.280,"Susan, thank you."
